"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","MS-NLB-PhysServer-28_ad:ea:56:3d","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","09:32:24,521827596","0.000000000"
"2","1.003021042","MS-NLB-PhysServer-28_ad:ea:56:3d","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","09:32:25,524848638","1.003021042"
"3","2.005458876","MS-NLB-PhysServer-28_ad:ea:56:3d","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","09:32:26,527286472","1.002437834"
"4","5.098554738","MS-NLB-PhysServer-28_ad:ea:56:3d","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","09:32:29,620382334","3.093095862"
"5","5.098562571","8e:e2:79:6f:4f:db","MS-NLB-PhysServer-28_ad:ea:56:3d","ARP","42","172.19.0.2 is at 8e:e2:79:6f:4f:db","09:32:29,620390167","0.000007833"
"6","5.098570113","172.19.0.3","172.19.0.2","QUIC","2482","Initial, DCID=4b8de247b04545e1, PKN: 1, CRYPTO, PADDING","09:32:29,620397709","0.000007542"
"7","5.103807113","172.19.0.2","172.19.0.3","QUIC","2482","Handshake, SCID=d5d71462d32ea1c9c8","09:32:29,625634709","0.005237000"
"8","5.106717321","172.19.0.3","172.19.0.2","QUIC","177","Protected Payload (KP0), DCID=d5d71462d32ea1c9c8","09:32:29,628544917","0.002910208"
"9","5.106777738","172.19.0.2","172.19.0.3","QUIC","1262","Protected Payload (KP0)","09:32:29,628605334","0.000060417"
