Protocol,Level,KEM,Slope
QUIC,1,P-256,2.000548410794603
QUIC,1,mlkem512,2.023425127436282
QUIC,1,p256_mlkem512,2.0285098650674662
QUIC,1,x25519,2.019689850074963
QUIC,1,x25519_mlkem512,2.0319186806596696
QUIC,3,P-384,2.002086791604198
QUIC,3,mlkem768,2.0259228335832082
QUIC,3,p384_mlkem768,1.9869650074962515
QUIC,3,x448,2.014759850074963
QUIC,3,x448_mlkem768,2.016808380809595
QUIC,5,P-521,2.0225509895052474
QUIC,5,mlkem1024,2.0370221139430282
QUIC,5,p521_mlkem1024,1.9985946026986507
TLS,1,P-256,4.4431375712143915
TLS,1,mlkem512,4.619558815592204
TLS,1,p256_mlkem512,4.752466056971513
TLS,1,x25519,4.365139475262368
TLS,1,x25519_mlkem512,4.444683298350824
TLS,3,P-384,4.7426206746626685
TLS,3,mlkem768,4.787282128935533
TLS,3,p384_mlkem768,4.4624186656671645
TLS,3,x448,4.687336491754123
TLS,3,x448_mlkem768,4.684829940029984
TLS,5,P-521,4.491938950524737
TLS,5,mlkem1024,3.9744589805097448
TLS,5,p521_mlkem1024,4.603957226386806
